Belgium_Confirmed,Belgium_Deaths,Canada_Confirmed,Canada_Deaths,China_Confirmed,China_Deaths,Finland_Confirmed,Finland_Deaths,France_Confirmed,France_Deaths,Germany_Confirmed,Germany_Deaths,Italy_Confirmed,Italy_Deaths,Spain_Confirmed,Spain_Deaths,Sweden_Confirmed,Sweden_Deaths,United Kingdom_Confirmed,United Kingdom_Deaths,US_Confirmed,US_Deaths,CE_Confirmed,CE_Deaths
38496,5683,22059,557,82665,3335,3064,59,83057,10887,124908,2736,165155,21645,184948,19315,11927,1203,99483,14941,366317,13894,9427,97
39983,5828,23316,654,82718,3335,3161,64,87366,12228,127854,3022,168941,22170,190839,20002,12540,1333,104145,15974,397121,16191,667,54
40956,5998,24299,714,82809,3337,3237,72,91738,13215,130072,3194,172434,22745,191726,20043,13216,1400,109769,16910,428654,18270,2015,178
41889,6262,25680,781,82883,3339,3369,75,94863,13851,131359,3294,175925,23227,198674,20453,13822,1511,115314,18028,463327,20288,4179,316
42797,6490,27035,901,82941,3340,3489,82,121712,14412,134753,3804,178972,23660,200210,20852,14385,1540,121172,18527,496846,22357,1373,101
44293,6679,28209,1008,83014,3343,3681,90,125394,14986,137698,4052,181228,24114,204178,21282,14777,1580,125856,19092,526776,24366,,
45325,6917,30809,1259,83134,3343,3783,94,130365,15731,141397,4352,183957,24648,208389,21717,15322,1765,130172,20264,555313,26086,,
46134,7094,32814,1356,83213,3345,3868,98,133585,17169,143342,4459,187327,25085,213024,22157,16004,1937,134638,21111,580624,27870,,
46687,7207,34356,1401,83306,3345,4014,141,146075,17922,145184,4586,189973,25549,202990,22524,16755,2021,139246,21840,607670,30262,,
47334,7331,35633,1565,83356,3346,4129,149,148084,18683,147065,4862,192994,25969,205905,22902,17567,2152,144640,22853,636674,32760,,
47859,7501,37658,1727,83403,3346,4284,172,148086,19325,148291,5033,195351,26384,207634,23190,18177,2192,149569,23697,667981,34844,,
48519,7594,39402,1910,83760,4636,4395,177,153011,19720,150648,5279,197675,26644,209465,23521,18640,2194,154037,24117,700062,37428,,
49032,7703,41663,2078,83787,4636,4475,186,155393,20267,153129,5575,199414,26977,210773,23822,18926,2274,158348,24458,732590,39775,,
49517,7765,43299,2241,83805,4636,4576,190,158168,20798,154999,5760,201505,27359,212917,24275,19621,2355,162350,25369,758809,40945,,
49906,7844,44919,2402,83817,4636,4695,193,155980,21342,156513,5877,203591,27682,213435,24543,20302,2462,166441,26166,784708,42686,,
50267,7924,46371,2571,83853,4636,4740,199,158303,21858,157770,5976,205463,27967,215216,24543,21092,2586,172481,26842,811865,45086,,
50509,8016,48033,2687,83868,4636,4906,206,159952,22248,158758,6126,207428,28236,216582,25100,21520,2653,178685,27583,840351,47412,,
50781,8339,49616,2841,83884,4636,4995,211,161644,22617,159912,6314,209328,28710,217466,25264,22082,2669,183500,28205,869170,49724,,
51420,8415,51150,2983,83899,4636,5051,218,162220,22859,161539,6467,210717,28884,218011,25428,22317,2679,187842,28520,905358,51493,,
52011,8521,52865,3155,83909,4636,5176,220,165963,23296,163009,6623,211938,29079,219329,25613,22721,2769,191832,28809,938154,53755,,
52596,8581,54457,3310,83912,4637,5254,230,169053,23663,164077,6736,213013,29315,220325,25857,23216,2854,196243,29501,965785,54881,,
53081,8656,56343,3537,83918,4637,5327,240,166543,24090,164967,6812,214457,29684,221447,26070,23918,2941,202359,30150,988197,56219,,
53449,8707,57926,3684,83940,4637,5412,246,167299,24379,165664,6866,215858,29958,222857,26299,24623,3040,207977,30689,1012582,58355,,
53779,8761,60504,3795,83944,4637,5573,252,167305,24597,166152,6993,217185,30201,223578,26478,25265,3175,212629,31316,1039909,60967,,
53981,8843,61957,4003,83956,4637,5673,255,168518,24763,167007,6993,218268,30395,224350,26621,25921,3220,216525,31662,1069424,62996,,
54288,8903,63215,4190,83959,4637,5738,260,168925,24900,168162,7275,219070,30560,227436,26744,26322,3225,220449,31930,1103461,64943,,
54644,8959,64694,4366,83959,4637,5880,265,169583,25204,169430,7392,219814,30739,228030,26920,26670,3256,224332,32141,1132539,66369,,
54989,9005,66201,4541,83964,4637,5962,267,170687,25537,170588,7510,221216,30911,228691,27104,27272,3313,227741,32769,1158040,67682,,
55280,9052,67674,4697,83966,4637,5984,271,174224,25812,171324,7549,222104,31106,229540,27321,27909,3460,230985,33264,1180375,68922,,
55559,9080,68918,4823,83968,4637,6003,275,174918,25990,171879,7569,223096,31368,230183,27459,28582,3529,234440,33693,1204351,71064,,
55791,9108,70091,4991,83970,4637,6054,284,176202,26233,172576,7661,223885,31610,230698,27563,29207,3646,238004,34078,1229331,73455,,
55983,9150,71264,5115,83975,4637,6145,287,176782,26313,173171,7738,224760,31763,230698,27563,29677,3674,241461,34546,1257023,75662,,
56235,9186,72419,5300,83976,4637,6228,293,177094,26383,174098,7861,225435,31908,231606,27709,30143,3679,244995,34716,1283929,77180,,
56511,9212,73568,5425,83990,4637,6286,297,177547,26646,174478,7884,225886,32007,232037,27778,30377,3698,247709,34876,1309550,78795,,
56810,9237,74781,5592,84010,4637,6347,298,178349,26994,175233,7897,226699,32169,232555,27888,30799,3743,250138,35422,1329260,79526,,
57092,9280,75959,5679,84011,4637,6380,300,178184,27077,175752,7938,227364,32330,233037,27940,31523,3831,249619,35786,1347881,80682,,
57342,9312,77206,5800,84018,4637,6399,301,178994,27428,176369,7962,228006,32486,234824,28628,32172,3871,252246,36124,1369376,82356,,
57455,9334,78332,5903,84024,4637,6443,304,179630,27532,176551,8003,228658,32616,235290,28678,32809,3925,255544,36475,1390406,84119,,
57592,9364,79411,5960,84029,4637,6493,306,179630,27532,177778,8081,229327,32735,235772,28752,33188,3992,258504,36757,1417774,85898,,
57849,9388,80493,6028,84038,4637,6537,306,179693,28111,178473,8144,229858,32785,235400,26834,33459,3998,260916,36875,1442824,87530,,
58061,9430,81575,6150,84044,4638,6568,306,180051,28242,179021,8203,230158,32877,236259,27117,33843,4029,262547,36996,1467820,88754,,
58186,9453,82742,6267,84054,4638,6579,307,180933,28025,179710,8228,230555,32955,236259,27117,34440,4125,266599,37130,1486757,89562,,
58381,9467,83947,6360,84063,4638,6599,308,181700,28135,179986,8261,231139,33072,237906,27119,35088,4220,268619,37542,1508308,90347,,
58517,9486,85151,6466,84063,4638,6628,312,181951,28218,180328,8283,231732,33142,238564,27121,35727,4266,270508,37919,1528568,91921,,
58615,9505,86106,6534,84063,4638,6692,313,182354,28292,180600,8309,232248,33229,239228,27125,36476,4350,272607,38243,1551853,93439,,
